Tarih	GunAdi	Miladi Tarih	Hicri Tarih	İmsak	Güneş	Öğle	İkindi	Akşam	Yatsı
2027-06-23	Çarşamba	23 Haziran 2027 Çarşamba	18 Muharrem 1449	03:22	05:21	13:05	17:04	20:39	22:20
2027-06-24	Perşembe	24 Haziran 2027 Perşembe	19 Muharrem 1449	03:23	05:21	13:05	17:04	20:39	22:20
2027-06-25	Cuma	25 Haziran 2027 Cuma	20 Muharrem 1449	03:23	05:21	13:05	17:04	20:39	22:20
2027-06-26	Cumartesi	26 Haziran 2027 Cumartesi	21 Muharrem 1449	03:24	05:22	13:06	17:04	20:39	22:20
2027-06-27	Pazar	27 Haziran 2027 Pazar	22 Muharrem 1449	03:24	05:22	13:06	17:04	20:39	22:20
2027-06-28	Pazartesi	28 Haziran 2027 Pazartesi	23 Muharrem 1449	03:25	05:23	13:06	17:05	20:39	22:20
2027-06-29	Salı	29 Haziran 2027 Salı	24 Muharrem 1449	03:25	05:23	13:06	17:05	20:39	22:20
2027-06-30	Çarşamba	30 Haziran 2027 Çarşamba	25 Muharrem 1449	03:26	05:23	13:06	17:05	20:39	22:19
2027-07-01	Perşembe	01 Temmuz 2027 Perşembe	26 Muharrem 1449	03:26	05:24	13:07	17:05	20:39	22:19
2027-07-02	Cuma	02 Temmuz 2027 Cuma	27 Muharrem 1449	03:27	05:24	13:07	17:05	20:39	22:19
2027-07-03	Cumartesi	03 Temmuz 2027 Cumartesi	28 Muharrem 1449	03:28	05:25	13:07	17:05	20:39	22:18
2027-07-04	Pazar	04 Temmuz 2027 Pazar	29 Muharrem 1449	03:29	05:25	13:07	17:06	20:39	22:18
2027-07-05	Pazartesi	05 Temmuz 2027 Pazartesi	1 Safer 1449	03:30	05:26	13:07	17:06	20:39	22:18
2027-07-06	Salı	06 Temmuz 2027 Salı	2 Safer 1449	03:31	05:27	13:08	17:06	20:38	22:17
2027-07-07	Çarşamba	07 Temmuz 2027 Çarşamba	3 Safer 1449	03:32	05:27	13:08	17:06	20:38	22:17
2027-07-08	Perşembe	08 Temmuz 2027 Perşembe	4 Safer 1449	03:33	05:28	13:08	17:06	20:38	22:16
2027-07-09	Cuma	09 Temmuz 2027 Cuma	5 Safer 1449	03:34	05:28	13:08	17:06	20:38	22:15
2027-07-10	Cumartesi	10 Temmuz 2027 Cumartesi	6 Safer 1449	03:35	05:29	13:08	17:06	20:37	22:15
2027-07-11	Pazar	11 Temmuz 2027 Pazar	7 Safer 1449	03:36	05:30	13:08	17:06	20:37	22:14
2027-07-12	Pazartesi	12 Temmuz 2027 Pazartesi	8 Safer 1449	03:37	05:31	13:08	17:06	20:36	22:13
2027-07-13	Salı	13 Temmuz 2027 Salı	9 Safer 1449	03:38	05:31	13:09	17:06	20:36	22:12
2027-07-14	Çarşamba	14 Temmuz 2027 Çarşamba	10 Safer 1449	03:39	05:32	13:09	17:06	20:35	22:11
2027-07-15	Perşembe	15 Temmuz 2027 Perşembe	11 Safer 1449	03:41	05:33	13:09	17:06	20:35	22:11
2027-07-16	Cuma	16 Temmuz 2027 Cuma	12 Safer 1449	03:42	05:34	13:09	17:06	20:34	22:10
2027-07-17	Cumartesi	17 Temmuz 2027 Cumartesi	13 Safer 1449	03:43	05:34	13:09	17:06	20:34	22:09
2027-07-18	Pazar	18 Temmuz 2027 Pazar	14 Safer 1449	03:44	05:35	13:09	17:06	20:33	22:08
2027-07-19	Pazartesi	19 Temmuz 2027 Pazartesi	15 Safer 1449	03:46	05:36	13:09	17:06	20:32	22:07
2027-07-20	Salı	20 Temmuz 2027 Salı	16 Safer 1449	03:47	05:37	13:09	17:06	20:32	22:05
2027-07-21	Çarşamba	21 Temmuz 2027 Çarşamba	17 Safer 1449	03:48	05:38	13:09	17:05	20:31	22:04
2027-07-22	Perşembe	22 Temmuz 2027 Perşembe	18 Safer 1449	03:50	05:38	13:09	17:05	20:30	22:03
2027-07-23	Cuma	23 Temmuz 2027 Cuma	19 Safer 1449	03:51	05:39	13:09	17:05	20:29	22:02
2027-07-24	Cumartesi	24 Temmuz 2027 Cumartesi	20 Safer 1449	03:53	05:40	13:09	17:05	20:29	22:01
2027-07-25	Pazar	25 Temmuz 2027 Pazar	21 Safer 1449	03:54	05:41	13:09	17:05	20:28	21:59
2027-07-26	Pazartesi	26 Temmuz 2027 Pazartesi	22 Safer 1449	03:55	05:42	13:09	17:05	20:27	21:58
2027-07-27	Salı	27 Temmuz 2027 Salı	23 Safer 1449	03:57	05:43	13:09	17:04	20:26	21:57
2027-07-28	Çarşamba	28 Temmuz 2027 Çarşamba	24 Safer 1449	03:58	05:44	13:09	17:04	20:25	21:55
2027-07-29	Perşembe	29 Temmuz 2027 Perşembe	25 Safer 1449	04:00	05:45	13:09	17:04	20:24	21:54
2027-07-30	Cuma	30 Temmuz 2027 Cuma	26 Safer 1449	04:01	05:46	13:09	17:03	20:23	21:53
2027-07-31	Cumartesi	31 Temmuz 2027 Cumartesi	27 Safer 1449	04:03	05:47	13:09	17:03	20:22	21:51
2027-08-01	Pazar	01 Ağustos 2027 Pazar	28 Safer 1449	04:04	05:48	13:09	17:03	20:21	21:50
2027-08-02	Pazartesi	02 Ağustos 2027 Pazartesi	29 Safer 1449	04:06	05:48	13:09	17:02	20:20	21:48
2027-08-03	Salı	03 Ağustos 2027 Salı	1 Rebiulevvel 1449	04:07	05:49	13:09	17:02	20:19	21:47
2027-08-04	Çarşamba	04 Ağustos 2027 Çarşamba	2 Rebiulevvel 1449	04:09	05:50	13:09	17:02	20:18	21:45
2027-08-05	Perşembe	05 Ağustos 2027 Perşembe	3 Rebiulevvel 1449	04:10	05:51	13:09	17:01	20:17	21:44
2027-08-06	Cuma	06 Ağustos 2027 Cuma	4 Rebiulevvel 1449	04:12	05:52	13:09	17:01	20:15	21:42
